title,description,views,applications,experience,salary
Full-stack Engineer (Python/React),"В пошуку  , що доєднається до продуктової компанії з розробки платформи для торгівлі енергоресурсами в ЄС. Переважно це електроенергія, газ, вугілля, сертифікати CO2.   2 backend розробники, 1 full stack, 1 front end розробник, 1 Team Lead.  Python, FastAPI+asyncio, React, СУБД (PostgreSQL, MSSQL), Elasticsearch, Redis, Kafka, мікросервісна архітектура.  Компанія будує клієнтоорієнтований бізнес, зосереджуючись на надійності поставок та високій якості послуг. Моделювання виробництва та споживання електроенергії на енергоринку України (погодинне, добове, місячне та річне) здійснюється за допомогою сучасного програмного забезпечення PLEXOS. - B2B контракт (ФОП 3 групи) або КЗоТ. - Гібридна робота: офіс/ремоут. - 20 днів відпустки та окремо лікарняні, медичне страхування, річний бонус. - Компанія надає техніку.  - досвід з будь-яким Python фреймворком - Asynchrony - Microservices  - досвід з SQL - React, TypeScript.",16,0,,
Python Developer,"We're looking for an initiative and experienced Python Engineer to join our team. The position will include building great product in the renewable energy domain. We expect you to work in pairs, use test-driven development and write clean and maintainable code. The product specializes in battery energy storage and building the future energy system. The leading data analysis platform provides valuable, unique market insights to help energy companies build, finance, and operate the energy system of the future. Its mission is to transform the energy industry through the transparency of data and accelerate the energy transition by enabling companies to make better data-backed decisions. Our projects' backend is written in Python (Django) and the frontend is written in React.js, Next.js. As a Back-end Developer you have the opportunity to work on interesting and challenging tasks, using a wide variety of instruments and technologies. You will be a part of the long-term product team responsible for defining features and stories and accomplishing its mission (technical requirements), building new features, and ensuring its quality and performance. As a part of the team, you will be able to collaborate and gather experiences from our Team Leader who has been working on the project for several years and can scrutinize all of the details during the onboarding. Team composition: Solution Architect, 4 Business Analysts, 3 Project Managers, 10 Back-end Developers, 5 Front-end Developers, 5 QA Engineers, Mobile Developer. - Create readable and well-structured code, using best code practices, patterns and principles. - Implement features, according to the ticket description. - Cover code with unit-tests. - Cooperate with your team. - Share your expertise in technical discussions, suggest improvements. So, if you want to take part in developing the platform that helps build the future energy system, you need experience with: -4+ years of experience with Python 3, Django - Strong knowledge with DRF - Docker, Docker-Compose - PostgreSQL - Airflow - Celery for asynchronous task queues (with Redis/RabbitMQ/etc) - Sanic - Django Channels - Pandas - Upper-intermediate English level -  we create an environment of transparent communication, minimal bureaucracy, which leads to long-term relationships. -   we are working in several niches, such as, FinTech, healthcare, and logistics. -   we create employee development plans / personal roadmaps /quick promotion process. -   80% of our current executives were promoted to those positions within S-PRO. We encourage initiative. If a person wants to set new challenges and grow, we will definitely support them. -  you can start the workday at any time from 8 to 11 in the morning. -  -   all our employees who have passed the probationary period are now registered in our health insurance program. -   so, we need to make sure that our employees regularly take vacations and don’t overwork.",56,6,,
Team Lead Python with Integration,"As a Team Leader for the Integration Engineering team, you will be responsible for guiding and managing a team of talented Integration Software Engineers. Your primary focus will be on overseeing the architecture, design, and implementation of our multi-disciplinary cloud-native software platform. You will work closely with cross-functional teams to ensure the seamless integration of various systems and components, while also driving the team's performance and growth.  Additionally, you will collaborate with other team leaders and stakeholders to align engineering efforts and drive overall project success. Main Requirements:  Bachelor's degree in Computer Science, Software Engineering, or relevant field MUST HAVE. Strong proficiency in the Python ecosystem and previous hands-on experience as an Integration Software Engineer (big advantage). With at least 5-6 years of experience and 1.5 and years as team leader. Demonstrated experience leading and managing a team of engineers, providing technical guidance, and fostering a collaborative environment Proven expertise in working with REST/GQL APIs and integrating various systems and services Familiarity with distributed systems, containerization, and modern DevOps practices (e.g., K8S, Docker, CI/CD) Excellent English communication skills, both written and verbal, to effectively collaborate with cross-functional teams and stakeholders offshore Advantageous Requirements:  Experience working in startups or fast-paced environments Previous experience in a company known for its engineering excellence Strong knowledge of agile methodologies and project management practices",14,3,,
Middle/Senior Python Developer (Desktop),"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше 50 пристрої, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле. Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас чотири R&D-офіси: у Києві, Харкові, Львові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР. Датчики Ajax охороняють більше мільйона користувачів у більш ніж 130 країнах світу. Основне завдання команди — це забезпечити випуск максимальної кількості пристроїв найвищої якості в найкоротші терміни. Ми розробляємо власний софт і апаратне забезпечення, які використовуються практично на всіх етапах виробництва: починаючи з тестування змонтованих плат і прошивки мікроконтролерів, до перевірки зібраних пристроїв і їх упаковки, комплектації Starter Kits. Головний виклик перед командою на найближче майбутнє — повна автоматизація всіх етапів виробництва з використанням конвеєрів і роботів. Основні задачі: - розробка десктоп програм (PC, single-board) для автоматизації процесів масового виробництва, тестування та калібрування пристроїв. - інтеграція апаратного забезпечення в програм виробництва, що потрібні для перевірки/калібрування окремих функцій охоронних, відео та смарт-хоум пристроїв. - робота з CI/DI системою для автоматичного управління версіями програмного забезпечення виробництва - розробка допоміжних програм, скриптів, алгоритмів аналізу, API для взаємодії програм з базою, стороннім ПЗ та ПЗ/хардом інших команд. Що шукаємо у кандидаті? - комерційний досвід з Python 3 - від 3х років - знання PyQT, PySide або Tkinter - досвід роботи з MySQL, PostgreSQL - розуміння Multiprocessing, Threading, Socket, The Python Standard Libraries - знання HTTP/TCP, модель OSI - досвід OOP - знання Git, Linux - англійську на рівні читання та розуміння документації Чудово, якщо ви знаєте: - PySerial чи PyUSB - PyInstaller - Jenkins чи інша CI/CD система - Docker, docker-compose, AWS - WebRTC - gRPC - NoSQL  - QML",21,4,,
Middle/Senior Python Developer(Full Stack),"Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це більше 50 пристрої, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Ajax представлено централі керування із власною RTOS (OS Malevich), датчики руху, відчинення, захисту від затоплення та пожежні датчики, вуличні й домашні сирени, тривожна кнопка з функцією керування приладами, розумні розетки та реле. Кожного року ми демонструємо кратне зростання як у чисельності команди, так і в кількості користувачів у всьому світі. Виробництво Ajax Systems налічує два заводи, що розташовані в Україні. Також у нас чотири R&D-офіси: у Києві, Харкові, Львові та Вінниці. Локальні команди продажів є у Великобританії, Італії, Іспанії, Португалії, Німеччині, Польщі, Норвегії, Румунії, Туреччині, ОАЕ та ПАР. Датчики Ajax охороняють більше мільйона користувачів у більш ніж 130 країнах світу. Основне завдання команди — це забезпечити випуск максимальної кількості пристроїв найвищої якості в найкоротші терміни. Ми розробляємо власний софт і апаратне забезпечення, які використовуються практично на всіх етапах виробництва: починаючи з тестування змонтованих плат і прошивки мікроконтролерів, до перевірки зібраних пристроїв і їх упаковки, комплектації Starter Kits. Головний виклик перед командою на найближче майбутнє — повна автоматизація всіх етапів виробництва з використанням конвеєрів і роботів. Основні задачі: - розробка API для взаємодії програм з базою, стороннім ПЗ та ПЗ/хардом інших команд. - інтеграція апаратного забезпечення в програм виробництва, що потрібні для перевірки/калібрування окремих функцій охоронних, відео та смарт-хоум пристроїв. - робота з CI/DI системою для автоматичного управління версіями програмного забезпечення виробництва - розробка допоміжних програм, скриптів, алгоритмів аналізу, web, desktop Що шукаємо у кандидаті? - комерційний досвід с Python від 3 років - комерційний досвід в web розробці від 2 років - досвід роботи з Django від 2 років - знання JavaScript - досвід роботи з MySQL, PostgreSQL - розуміння Multiprocessing, Threading, Socket, The Python Standard Libraries - gRPC - API, DRF - HTTP, TCP/IP, модель OSI - Git, Linux - WebRTC - NoSQL  - Jenkins чи інша CI/CD система - англійську на рівні читання та розуміння документації Чудово, якщо ви знаєте: - PyQT, PySide чи Tkinter - PySerial чи PyUSB - PyInstaller - Docker, docker-compose, AWS - QML Особисті якості: - цілеспрямованість - прагнення до нових знань і вирішенню нестандартних задач - вміння працювати в команді. Пропонуємо: - свободу приймати рішення та втілювати ідеї; - можливість впливати на продукт і виробництво замість монотонного закриття задач; - роботу в мотивованій команді та zero bullshit culture; - гнучкий графік в офісі; - турботу та медичне страхування",16,3,,
Full Stack Engineer,"Glorium Technologies is an outsourcing company with an HQ in NJ and development centers in Ukraine, Poland, Cyprus. We were founded in 2010 and have already expanded our team to over 180 sharp-minded people. The majority of our projects are within Healthcare and Real Estate domains. • A passion for and affinity with the project’s mission to transform healthcare for every trans life • 2+ years of backend experience: Python/Go, GraphQL, event architecture, Cloud PaaS, Docker • 2+ years of Front End: React/React Native • Ability to take a ticket delivered by product, create an implementation plan that is effectively communicated with the rest of their team, and provide an accurate estimate for how long it will take to complete • A collaborative team spirit • Advanced experience creating mitigation plans, deployment, logging & monitoring, ability to respond quickly to high-priority tickets • Familiarity with backend development technologies to assist with our current and future integration needs • Knowledge of complex scripting, debugging, data analysis, problem analysis, and resolution of issues • Agile methodology expertise • 2+ years of Mobile App Development: Flutter, React, React Native, etc. • DevOps: Terraform and Kubernetes • Experience with Deno, WebSockets, and fully static deployments • A Cyber Security background • Experience building integration components between various APIs • GitHub repo of your work This is a trans healthcare project which offers gender-affirming services for 1 million transgender individuals in 45 states. • Supporting application development needs, primarily with our platform integration work • Expertise in backend development to assist with current and future needs around integrations as we move to v4+ of our platform • Working with the team in designing the architecture around our mobile app atop the APIs of our platform components • Working closely with Product Management to ensure the framework meets the requirements defined by customer feedback, product vision, and company direction • Independently resolving blockers by reaching out to appropriate team stakeholders • Medical insurance and gym membership to choose • Fully paid English classes with an in-house English teacher • 25 paid days off per year in total • Regular performance reviews • Training and IT certification • Special occasion bonuses (birthday, marriage, childbirth) • Flexible schedule of cooperation with work-from-home or office options",83,11,,
Python Developer (Middle+),"Requirements: At least 4+ years of experience with Python programming language, including a strong understanding of object-oriented programming (OOP); ∙ Experience with containerization technologies such as Kubernetes (will be a plus) and experience with at least one of the following frameworks: Tornado, AIOHTTP, Django, Flask; ∙ knowledge of relational and/or NoSQL databases, such as Postgres, Cassandra, MongoDB, and experience working with ORMs; ∙ Experience with RESTful API design and development, including experience with FastAPI; ∙ Experience with Linux operating systems and familiarity with the command line interface; ∙ Experience with unit testing and debugging, and familiarity with Agile methodologies; ∙ Upper-Intermediate English language skills and good communication skills, both written and verbal. What we offer: ∙ Career planning, regular performance review; ∙ Flexible bonus system; ∙ Paid leave days; ∙ Free medical insurance; ∙ Sports reimbursement according to Company HR Policies; ∙ English lessons, speaking club; ∙ The company provides support in the maintenance of all documentation for private entrepreneurs.",22,4,,
Middle/Senior Python Developer,"We are looking for a Middle to Senior Python Developer to join our team of professionals. If you're motivated by mission and being part of a company that’s doing important work, we want the same thing, join us! The public benefit corporation with a mission to decarbonize the advertising and media industry. The customer has developed an accurate model of emissions in the digital advertising ecosystem, providing the data foundation to measure, reduce, and offset digital emissions. This team obtains experience that includes the invention of ad exchange and the development used in monetizing the Internet. When you join our team, you'll immerse in a culture where teammates support each other to achieve better results. We believe that together we are better and can find brilliant solutions by sharing ideas. Python, SQL, Typescript and Airflow - 2+ years of development experience - SQL skills - Proficiency in Python - Competency with Typescript - Knowledge of Airflow - Experience developing algorithms and statistical models to analyze and interpret data sets and identifying trends/patterns - Experience of working directly with customers, product managers, designers, and other stakeholders - Upper-Intermediate - Write scalable, robust, testable, efficient, and easily maintainable code - Help design and implement functional requirements  - Manage testing and bug fixes  - Prepare technical documentation  - Implement software enhancements and suggest improvements",62,18,,
Python Developer,"About Our Company: Our business is 20+ years old. This is the automation of the work of legal departments and lawyers, the high dynamics of product development. We work at LegalTech, we develop products for lawyers and their clients. We are a full-cycle company (development, marketing, analytics, support). Who we are looking for: We are looking for a Senior Backend Python Developer to join our team. We offer non-trivial tasks and participation in various long-term projects: both supporting the existing software and developing new ones from scratch. Main responsibilities: - Participation in software development - Review code - Refactoring existing code Skills Required: - 3+ years of software engineering experience - Strong knowledge of Python - Understanding of the HTTP protocol and RESTful APIs - Experience with web frameworks (Django/Flask) - Command of Linux/UNIX environment (shell, scripting, tools) - Hands-on experience and understanding of application architecture We offer: - Competitive rate  - For employee development: paid courses/trainings/literature - Work from Dnipro / remotely - Partial reimbursement of English or gym - Legal and accounting support",37,10,,
Senior Python Software Engineer,"Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿 We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive, and productive environment for all team members, and we’re always open to feedback💜 If you want to work from home or work in the city center of Kyiv, great — apply right now. IoT Platform for a premium provider in the electrical engineering industry. Software in the embedded area for intelligent power distribution units. ● 5+ years of relevant experience in Backend Software Development; ● Proficiency in Python/Django; ● Experience building large-scale distributed systems; ● Experience writing high-quality, well-tested code to meet the needs of our customers; ● Familiarity with MongoDB, Redis, and Elasticsearch; ● Familiarity with asynchronous APIs including FastAPI or Gevent; ● Familiarity with microservices architecture; ● Experience with algorithms; ● Experience with GIT and branching workflows; ● Familiar with unit testing, and integration testing; ● English: Upper-Intermediate ● Experience with data collection, Selenium, Scrapy, etc. is a big plus; ● Experience with GraphQL (Apollo); ● Experience with MongoDB, Redis, Docker; ● Experience with AWS Services, AWS IoT; ● Experience with React, Redux/MobX, Webpack, TypeScript; ● Develop high-quality, scalable, and maintainable IoT Platform using Python and Django; ● Identify and troubleshoot bugs and performance issues; ● Participate in code reviews and contribute to the overall improvement of the codebase; ● Competitive salary and good compensation package; ● Exciting, challenging, and stable startup projects with a modern stack; ● Corporate English course; ● Ability to practice English and communication skills through permanent interaction with clients from all over the world; ● Professional study compensation, online courses, and certifications; ● Career development opportunity, semi-annual and annual salary review process; ● Necessary equipment to perform work tasks; ● VIP medical insurance or sports coverage; ● Informal and friendly atmosphere; ● The ability to focus on your work: a lack of bureaucracy and micromanagement; ● Flexible working hours (start your day between 8:00 and 11:30); ● Team buildings, corporate events; ● Paid vacation (18 working days) and sick leaves; ● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ) ● Compensation for coworking (except for employees from Kyiv and Lviv) ● Corporate lunch + soft skills clubs ● Unlimited work from home from anywhere in the world (remote); ● Geniusee has its own charity fund. ● Employee-friendly working conditions One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best. ● Teamwork beats distance We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events. ● Excellent tools and equipment You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description. ● 360-degree feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered ● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved ● Navigation — summarize your review with a manager and define your future goals",19,2,,
Junior Data Annotator,"We are Data Science UA, a fast-growing IT service company. We are proud of developing the Data Science community in Ukraine for more than 6 years. Data Science UA unites all researchers, engineers, and developers around Data Science and related areas. We conduct events on machine learning, computer vision, intelligence, information science, and the use of artificial intelligence for business in various fields. This is an intelligent video analytics platform designed to automate the process of learning and generating contextual insights from unstructured data inside video footage. The company’s platform uses artificial intelligence built on proprietary machine comprehension services that can contextually understand the content of users’ data, enabling clients to provide contextual advertisements and product recommendations to provide a personalized experience for users. They have developed and deployed a computer vision system for industrial procedure monitoring which involves multiple cameras, on-prem servers with multiple GPUs, and a cloud component on AWS cloud. The system is installed in 3 countries, and we have new customers all over the world. We are looking for an experienced Junior Data Annotator who will work closely with engineers in the tasks of creating datasets for training neural networks. — Minimum of a Bachelor's Degree in Computer Science or related field. — Ability to remain attentive during long, monotonous work. — Ability to perform tasks according to requirements. — English - Intermediate and above. — High level of communication skills. — Prior annotation experience. — Familiarity with data annotation tools, methods and processes. — Familiarity with Confluence, Jira and Google Services (Docs, Sheets, Slides, Drive). — Image annotation (object detection annotation, segmentation annotation), with high accuracy according to the rules of the task, using a special annotation tool. — Sorting images by specified conditions. — Achieving required KPIs of performance and quality. — Possibility to make an impact on product from scratch; — Competitive salary and perks; — Working with cutting-edge technologies; — Friendly team and nice environment; — A positive atmosphere all over the company. You will work closely with the founding team and greatly impact the direction of the products and the company. If you’re interested in joining our new R&D team, please let us know about yourself.",325,54,,
